Scenario,UserCount,Algorithm,Throughput_Mbps,Latency_ms,Energy_J,LoadBalance,QoSViolation_%,UserSatisfaction_%
MIXED_TRAFFIC,100,Random Assignment,41.28,8.00,1928750.55,1.684,1.79,90.71
MIXED_TRAFFIC,100,Greedy Assignment,11.35,4.70,1931336.57,0.693,3.87,53.65
MIXED_TRAFFIC,100,Load Balanced,63.93,8.00,1931300.45,2.437,2.28,92.52
MIXED_TRAFFIC,100,Signal Strength Based,8.71,3.15,1929910.50,0.464,0.71,36.53
MIXED_TRAFFIC,150,Round Robin,27.84,8.00,2122271.96,1.385,1.10,94.57
MIXED_TRAFFIC,150,Auction-based,49.88,8.00,2546744.76,1.731,1.15,91.49
MIXED_TRAFFIC,150,Cooperative Game,1650.00,26.12,224328642.86,45.826,100.00,30.43
MIXED_TRAFFIC,150,Nash Equilibrium,69.60,8.00,2334700.56,3.137,24.87,90.56
MIXED_TRAFFIC,150,Stackelberg Game,51.38,8.00,2759960.89,2.267,0.53,91.83
MIXED_TRAFFIC,150,Nearest Neighbor,75.08,8.00,2123557.15,3.739,23.85,90.09
MIXED_TRAFFIC,150,Random Assignment,33.03,8.00,2122885.90,1.555,2.92,93.10
MIXED_TRAFFIC,150,Greedy Assignment,41.57,8.00,2124702.16,1.699,3.15,93.01
MIXED_TRAFFIC,150,Load Balanced,42.66,8.00,2122576.03,2.483,1.15,91.40
MIXED_TRAFFIC,150,Signal Strength Based,11.23,4.98,2124602.23,0.665,1.67,57.58
MIXED_TRAFFIC,200,Round Robin,28.88,8.00,2317598.05,1.357,2.14,92.79
MIXED_TRAFFIC,200,Auction-based,47.36,8.00,2777468.74,1.805,1.37,91.06
MIXED_TRAFFIC,200,Cooperative Game,2400.00,23.66,244400168.44,30.551,100.00,36.82
MIXED_TRAFFIC,200,Nash Equilibrium,41.56,8.00,2550828.28,2.536,18.20,89.92
MIXED_TRAFFIC,200,Stackelberg Game,101.99,8.00,3012476.87,3.664,4.99,90.71
MIXED_TRAFFIC,200,Nearest Neighbor,45.37,8.00,2315600.35,1.844,2.76,92.19
MIXED_TRAFFIC,200,Random Assignment,39.89,8.00,2316732.91,1.711,1.80,92.94
MIXED_TRAFFIC,200,Greedy Assignment,31.63,8.00,2316436.83,1.591,2.52,92.13
MIXED_TRAFFIC,200,Load Balanced,24.24,8.00,2316989.58,1.375,1.56,91.04
MIXED_TRAFFIC,200,Signal Strength Based,68.66,8.00,2315896.23,2.677,3.37,90.83
HOTSPOT_SCENARIO,50,Round Robin,3.26,1.74,1421431.16,0.218,2.22,19.67
HOTSPOT_SCENARIO,50,Auction-based,4.34,2.22,1705174.44,0.282,3.71,25.06
HOTSPOT_SCENARIO,50,Cooperative Game,500.00,17.28,43224489.85,40.311,100.00,27.84
HOTSPOT_SCENARIO,50,Nash Equilibrium,0.15,0.08,1563772.30,0.010,0.25,0.90
HOTSPOT_SCENARIO,50,Stackelberg Game,19.31,6.94,1848186.46,1.288,7.04,78.75
HOTSPOT_SCENARIO,50,Nearest Neighbor,9.59,5.12,1421409.54,0.639,3.44,57.97
HOTSPOT_SCENARIO,50,Random Assignment,30.00,8.00,1421155.06,1.333,0.14,92.34
HOTSPOT_SCENARIO,50,Greedy Assignment,1.04,0.55,1422477.74,0.069,0.97,6.23
HOTSPOT_SCENARIO,50,Load Balanced,0.28,0.15,1422268.98,0.019,0.25,1.70
HOTSPOT_SCENARIO,50,Signal Strength Based,9.35,4.98,1421323.15,0.623,3.33,56.53
HOTSPOT_SCENARIO,100,Round Robin,3.10,1.66,1579777.49,0.207,2.28,18.66
HOTSPOT_SCENARIO,100,Auction-based,8.14,4.34,1896115.95,0.543,3.94,49.14
HOTSPOT_SCENARIO,100,Cooperative Game,1000.00,16.95,92891899.94,50.000,100.00,24.68
HOTSPOT_SCENARIO,100,Nash Equilibrium,31.07,8.00,1737514.97,1.490,3.04,92.79
HOTSPOT_SCENARIO,100,Stackelberg Game,15.33,7.66,2050291.87,0.979,1.46,88.99
HOTSPOT_SCENARIO,100,Nearest Neighbor,15.48,8.00,1578344.41,1.032,0.92,96.24
HOTSPOT_SCENARIO,100,Random Assignment,29.19,8.00,1579915.33,1.315,1.08,93.10
HOTSPOT_SCENARIO,100,Greedy Assignment,15.03,8.00,1580063.69,1.001,0.11,94.36
HOTSPOT_SCENARIO,100,Load Balanced,14.76,7.85,1579227.04,0.982,0.44,91.65
HOTSPOT_SCENARIO,100,Signal Strength Based,0.25,0.14,1580026.18,0.017,0.47,1.52
HOTSPOT_SCENARIO,150,Round Robin,0.01,0.00,1736477.72,0.001,0.06,0.05
HOTSPOT_SCENARIO,150,Auction-based,15.00,8.00,2084305.10,1.000,0.00,95.41
HOTSPOT_SCENARIO,150,Cooperative Game,1650.00,17.28,125553891.10,45.826,100.00,30.60
HOTSPOT_SCENARIO,150,Nash Equilibrium,0.12,0.06,1912033.40,0.008,0.33,0.72
HOTSPOT_SCENARIO,150,Stackelberg Game,14.35,7.25,2258333.67,0.923,1.57,83.72
HOTSPOT_SCENARIO,150,Nearest Neighbor,0.34,0.18,1737797.42,0.023,0.64,2.02
HOTSPOT_SCENARIO,150,Random Assignment,15.00,8.00,1737633.37,1.000,0.00,95.67
HOTSPOT_SCENARIO,150,Greedy Assignment,14.88,5.75,1737312.14,0.951,9.86,64.78
HOTSPOT_SCENARIO,150,Load Balanced,0.16,0.08,1736982.14,0.011,0.36,0.95
HOTSPOT_SCENARIO,150,Signal Strength Based,15.00,8.00,1737106.75,1.000,0.00,94.82
HOTSPOT_SCENARIO,200,Round Robin,26.95,8.00,1895100.15,1.760,2.83,92.10
HOTSPOT_SCENARIO,200,Auction-based,24.62,7.87,2273724.95,1.201,4.01,90.41
HOTSPOT_SCENARIO,200,Cooperative Game,2400.00,17.06,134074771.36,30.551,100.00,36.98
